station_num, WBAN , YEARMO,   TEMP,  ,   DEWPOINT,  ,  SEA_LEVEL_PRESSURE  ,  ,  STATION_PRESSURE  ,  , VISI,  ,  WINDSPEE,  , MAXSPEE,  MAXGUST,   MAXTEMP  ,  MINTEMP  ,PRCP  ,SNOWDEPTH , FRSHTT,
numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric, numeric,
720472,99999, 20180531,   65.2,24,   44.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   2.9,24,   8.0,  15.0,   82.4,  48.2, 0.00,999.9, 000000,
720472,99999, 20180601,   68.4,24,   58.5,24, 9999.9, 0, 9999.9, 0,   9.8,24,   1.9,24,   9.9, 999.9,   78.8,  62.6,99.99 ,999.9, 010000,
720472,99999, 20180602,   65.0,24,   56.6,24, 9999.9, 0, 9999.9, 0,   8.4,24,   5.9,24,  14.0,  22.9,   69.8,  60.8,99.99 ,999.9, 110000,
720472,99999, 20180603,   53.8,24,   32.9,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.2,24,   9.9,  14.0,   66.2,  37.4, 0.00,999.9, 000000,
720472,99999, 20180604,   43.3,24,   37.3,24, 9999.9, 0, 9999.9, 0,   8.9,24,   6.6,24,  11.1,  20.0,   55.4,  39.2,99.99 ,999.9, 010000,
720472,99999, 20180605,   44.4,24,   40.8,24, 9999.9, 0, 9999.9, 0,   8.8,24,   2.5,24,   8.0, 999.9,   53.6,  41.0,99.99 ,999.9, 010000,
720472,99999, 20180606,   48.4,24,   45.6,24, 9999.9, 0, 9999.9, 0,   7.7,24,   1.1,24,   7.0,  14.0,   55.4,  44.6,99.99 ,999.9, 110000,
720472,99999, 20180607,   50.1,24,   45.8,24, 9999.9, 0, 9999.9, 0,   6.1,24,   1.7,24,   8.0, 999.9,   60.8,  39.2,99.99 ,999.9, 110000,
720472,99999, 20180608,   56.7,24,   44.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.8,24,  15.0,  26.0,   64.4,  50.0,99.99 ,999.9, 010000,
720472,99999, 20180609,   55.2,24,   36.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   8.9,24,  19.0,  33.0,   64.4,  46.4, 0.00,999.9, 000000,
720472,99999, 20180610,   52.9,24,   31.7,24, 9999.9, 0, 9999.9, 0,  10.0,24,   4.6,24,  11.1,  18.1,   62.6,  39.2, 0.00,999.9, 000000,
720472,99999, 20180611,   53.4,24,   32.3,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.0,24,   9.9,  14.0,   66.2,  39.2, 0.00,999.9, 000000,
720472,99999, 20180612,   55.8,22,   35.9,22, 9999.9, 0, 9999.9, 0,  10.0,22,   5.1,22,  15.0,  24.1,   73.4,  39.2, 0.00,999.9, 000000,
720472,99999, 20180613,   67.5,24,   47.5,24, 9999.9, 0, 9999.9, 0,  10.0,24,   5.0,24,   9.9,  19.0,   78.8,  55.4, 0.00,999.9, 000000,
720472,99999, 20180614,   58.0,24,   54.1,24, 9999.9, 0, 9999.9, 0,   7.5,24,   4.5,24,  12.0,  17.1,   68.0,  46.4,99.99 ,999.9, 010010,
720472,99999, 20180615,   53.4,24,   42.9,24, 9999.9, 0, 9999.9, 0,   8.1,24,   5.5,24,  11.1,  17.1,   68.0,  44.6,99.99 ,999.9, 110000,
720472,99999, 20180616,   62.5,24,   45.4,24, 9999.9, 0, 9999.9, 0,  10.0,24,   6.8,24,  15.9,  24.1,   77.0,  51.8, 0.00,999.9, 000000,
720472,99999, 20180617,   65.3,24,   46.2,24, 9999.9, 0, 9999.9, 0,  10.0,24,   3.8,24,   9.9,  15.0,   80.6,  50.0, 0.00,999.9, 000000,
720472,99999, 20180618,   65.3,24,   57.6,24, 9999.9, 0, 9999.9, 0,   9.4,24,   3.2,24,   8.0,  17.1,   75.2,  59.0,99.99 ,999.9, 010010,
